date,equity,cash,invested_weight,positions,selected,trade_count,turnover,dividend_cash
2008-11-11,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-12,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-13,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-14,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-17,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-18,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-19,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-21,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-24,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-25,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-26,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-27,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-28,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-12-01,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-12-02,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-12-03,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
